name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
fulmer,carson,608334,fulmc001,fulmeca01,18311,2016.0,2024.0
holderman,colin,670059,holdc001,holdeco01,22361,2022.0,2024.0
manaea,sean,640455,manas001,manaese01,15873,2016.0,2024.0
morejón,adrián,670970,morea001,morejad01,20039,2019.0,2024.0
mears,nick,683232,mearn001,mearsni01,25376,2020.0,2024.0
ortiz,luis,682847,ortil003,ortizlu03,27646,2022.0,2024.0
flaherty,jack,656427,flahj002,flaheja01,17479,2017.0,2024.0
robertson,david,502085,robed002,roberda08,8241,2008.0,2024.0
lynn,lance,458681,lynnl001,lynnla01,2520,2011.0,2024.0
hjelle,sean,663546,hjels001,hjellse01,21481,2022.0,2024.0
anderson,justin,605121,andej005,anderju01,16201,2018.0,2024.0
maeda,kenta,628317,maedk001,maedake01,18498,2016.0,2024.0
akin,keegan,669211,akink001,akinke01,19362,2020.0,2024.0
gallen,zac,668678,gallz001,galleza01,19291,2019.0,2024.0
meyer,max,676974,meyem001,meyerma01,27474,2022.0,2024.0
singer,brady,663903,singb001,singebr01,25377,2020.0,2024.0
hader,josh,623352,hadej001,haderjo01,14212,2017.0,2024.0
clase,emmanuel,661403,clase001,claseem01,21032,2019.0,2024.0
kelly,merrill,518876,kellm002,kellyme01,11156,2019.0,2024.0
tonkin,michael,543859,tonkm001,tonkimi01,10315,2013.0,2024.0
jones,jared,683003,jonej008,jonesja09,27863,2024.0,2024.0
soto,gregory,642397,sotog003,sotogr01,19677,2019.0,2024.0
keller,mitch,656605,kellm003,kellemi03,17594,2019.0,2024.0
jax,griffin,643377,jax-g001,jaxgr01,20253,2021.0,2024.0
kopech,michael,656629,kopem001,kopecmi01,17282,2018.0,2024.0
díaz,alexis,664747,diaza004,diazal03,21132,2022.0,2024.0
